coverage,interval_width
0.31785835310064386,0.08907769700736878
0.3392070484581498,0.09162929660156749
0.33988478481870554,0.09428133406574091
0.338698746187733,0.09239373642471094
0.30837004405286345,0.07955130100626207
0.4161301253812267,0.10933996479647588
0.3812267028126059,0.1037035187363955
0.4298542866824805,0.11513397620009867
0.29803456455438837,0.08238920983433218
0.3336157234835649,0.08605804431870467
0.2973568281938326,0.08444177515885087
0.33514063029481533,0.09298094127832712
0.349203659776347,0.09710058901340801
0.3425957302609285,0.09479166195131938
0.3454761097932904,0.1020247908375751
0.37394103693663167,0.09987894830743471
0.3425957302609285,0.09642320746337418
0.3563198915621823,0.09385468182355793
0.35801423246357167,0.09402672140242885
0.3453066757031515,0.09470160353895096
